"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"112",1,"Female",24,"r","h","Match","You","TRAINING","You","You","Triangle","Circle","Diamond","Star","Top","m",1,1,1000,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"113",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Top","m",1.067,1,1067,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"114",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Bottom","m",0.783,1,783,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"115",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Bottom","m",0.817,1,817,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"116",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Top","m",0.734,1,734,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"117",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Top","m",0.917,1,917,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"118",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Bottom","m",0.683,1,683,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"119",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Top","m",0.734,1,734,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"120",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Bottom","m",0.733,1,733,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"121",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Top","m",0.717,1,717,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"122",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Bottom","n",0.85,0,850,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"123",1,"Female",24,"r","h","Match","You","EXPERIMENT","You","You","Triangle","Circle","Diamond","Star","Top","m",0.667,1,667,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
